Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"International tourism, number of departures",ST.INT.DPRT,Afghanistan,AFG,..
"International tourism, number of departures",ST.INT.DPRT,Albania,ALB,5415000
"International tourism, number of departures",ST.INT.DPRT,Algeria,DZA,5610000
"International tourism, number of departures",ST.INT.DPRT,American Samoa,ASM,..
"International tourism, number of departures",ST.INT.DPRT,Andorra,AND,..
"International tourism, number of departures",ST.INT.DPRT,Angola,AGO,..
"International tourism, number of departures",ST.INT.DPRT,Antigua and Barbuda,ATG,..
"International tourism, number of departures",ST.INT.DPRT,Argentina,ARG,11130000
"International tourism, number of departures",ST.INT.DPRT,Armenia,ARM,1623000
"International tourism, number of departures",ST.INT.DPRT,Aruba,ABW,..
"International tourism, number of departures",ST.INT.DPRT,Australia,AUS,11403000
"International tourism, number of departures",ST.INT.DPRT,Austria,AUT,11883000
"International tourism, number of departures",ST.INT.DPRT,Azerbaijan,AZE,3919000
"International tourism, number of departures",ST.INT.DPRT,"Bahamas, The",BHS,..
"International tourism, number of departures",ST.INT.DPRT,Bahrain,BHR,2868000
"International tourism, number of departures",ST.INT.DPRT,Bangladesh,BGD,..
"International tourism, number of departures",ST.INT.DPRT,Barbados,BRB,..
"International tourism, number of departures",ST.INT.DPRT,Belarus,BLR,836000
"International tourism, number of departures",ST.INT.DPRT,Belgium,BEL,13098000
"International tourism, number of departures",ST.INT.DPRT,Belize,BLZ,..
"International tourism, number of departures",ST.INT.DPRT,Benin,BEN,..
"International tourism, number of departures",ST.INT.DPRT,Bermuda,BMU,..
"International tourism, number of departures",ST.INT.DPRT,Bhutan,BTN,..
"International tourism, number of departures",ST.INT.DPRT,Bolivia,BOL,1060000
"International tourism, number of departures",ST.INT.DPRT,Bosnia and Herzegovina,BIH,..
"International tourism, number of departures",ST.INT.DPRT,Botswana,BWA,..
"International tourism, number of departures",ST.INT.DPRT,Brazil,BRA,10628000
"International tourism, number of departures",ST.INT.DPRT,British Virgin Islands,VGB,..
"International tourism, number of departures",ST.INT.DPRT,Brunei Darussalam,BRN,..
"International tourism, number of departures",ST.INT.DPRT,Bulgaria,BGR,6699000
"International tourism, number of departures",ST.INT.DPRT,Burkina Faso,BFA,..
"International tourism, number of departures",ST.INT.DPRT,Burundi,BDI,..
"International tourism, number of departures",ST.INT.DPRT,Cabo Verde,CPV,..
"International tourism, number of departures",ST.INT.DPRT,Cambodia,KHM,1995000
"International tourism, number of departures",ST.INT.DPRT,Cameroon,CMR,..
"International tourism, number of departures",ST.INT.DPRT,Canada,CAN,26033000
"International tourism, number of departures",ST.INT.DPRT,Cayman Islands,CYM,..
"International tourism, number of departures",ST.INT.DPRT,Central African Republic,CAF,..
"International tourism, number of departures",ST.INT.DPRT,Chad,TCD,..
"International tourism, number of departures",ST.INT.DPRT,Channel Islands,CHI,..
"International tourism, number of departures",ST.INT.DPRT,Chile,CHL,3825000
"International tourism, number of departures",ST.INT.DPRT,China,CHN,149720000
"International tourism, number of departures",ST.INT.DPRT,Colombia,COL,4368000
"International tourism, number of departures",ST.INT.DPRT,Comoros,COM,..
"International tourism, number of departures",ST.INT.DPRT,"Congo, Dem. Rep.",COD,..
"International tourism, number of departures",ST.INT.DPRT,"Congo, Rep.",COG,..
"International tourism, number of departures",ST.INT.DPRT,Costa Rica,CRI,1079000
"International tourism, number of departures",ST.INT.DPRT,Cote d'Ivoire,CIV,..
"International tourism, number of departures",ST.INT.DPRT,Croatia,HRV,2058000
"International tourism, number of departures",ST.INT.DPRT,Cuba,CUB,..
"International tourism, number of departures",ST.INT.DPRT,Curacao,CUW,..
"International tourism, number of departures",ST.INT.DPRT,Cyprus,CYP,1446000
"International tourism, number of departures",ST.INT.DPRT,Czech Republic,CZE,7390000
